SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,NumMentions,Contains14sub,Contains14
20150709,182,4,-9.5,-9.57446808510638,2,HK,2,1,0
20150711,1831,4,-10.0,-7.44680851063829,10,HK,10,1,0
20150712,180,4,-9.0,-5.75,10,HK,10,1,0
20150713,1821,4,-9.0,-9.64812712826337,10,HK,10,1,0
20150714,180,4,-9.0,-12.3456790123457,10,HK,10,1,0
20150716,180,4,-9.0,-8.48329048843188,10,HK,10,1,0
20150717,180,4,-9.0,-6.64451827242525,10,HK,10,1,0
20150720,180,4,-9.0,-4.40528634361234,5,HK,5,1,0
20150721,180,4,-9.0,-7.71812080536912,5,HK,5,1,0
20150722,1831,4,-10.0,-12.0,3,HK,3,1,0
20150723,1821,4,-9.0,-6.48899188876014,7,HK,7,1,0
20150726,180,4,-9.0,-7.07964601769912,5,HK,5,1,0
20150727,180,4,-9.0,-6.46067415730337,10,HK,20,1,1
20150728,1823,4,-10.0,0.0,2,HK,2,1,0
20150729,181,4,-9.0,-1.06761565836299,5,HK,5,1,0
20150730,181,4,-9.0,-9.4059405940594,5,HK,5,1,0
20150731,181,4,-9.0,-9.16230366492147,5,HK,5,1,0
20150801,181,4,-9.0,-8.80281690140845,10,HK,10,1,0
20150802,180,4,-9.0,-7.25274725274725,10,HK,10,1,0
20150803,1822,4,-9.0,-7.85714285714286,10,HK,10,1,0
20150804,181,4,-9.0,-8.7281795511222,5,HK,5,1,0
20150805,180,4,-9.0,-8.0,10,HK,10,1,0
20150806,180,4,-9.0,-7.11743772241993,5,HK,5,1,0
20150807,1822,4,-9.0,-7.11974110032363,5,HK,5,1,0
20150808,182,4,-9.5,-6.8649885583524,10,HK,10,1,0
20150810,183,4,-10.0,-8.96739130434783,4,HK,4,1,0
20150811,180,4,-9.0,-6.31578947368421,10,HK,10,1,0
20150812,183,4,-10.0,-1.02915951972555,2,HK,2,1,0
20150813,180,4,-9.0,-10.3703703703704,1,HK,1,1,0
20150814,181,4,-9.0,-0.322580645161289,2,HK,2,1,0
20150815,1822,4,-9.0,-6.09911054637865,5,HK,5,1,0
20150817,182,4,-9.5,-4.70588235294118,10,HK,10,1,0
20150818,182,4,-9.5,-5.34591194968554,1,HK,1,1,0
20150819,182,4,-9.5,-5.89147286821705,2,HK,2,1,0
20150820,183,4,-10.0,-7.2704081632653,1,HK,1,1,0
20150821,183,4,-10.0,1.24223602484472,10,HK,10,1,0
20150822,182,4,-9.5,-7.64705882352942,10,HK,10,1,0
20150825,181,4,-9.0,0.45871559633027,10,HK,10,1,0
20150826,180,4,-9.0,-8.55263157894738,10,HK,10,1,0
20150827,180,4,-9.0,-8.10810810810811,10,HK,10,1,0
20150828,186,4,-10.0,0.56818181818182,10,HK,10,1,0
20150831,180,4,-9.0,-9.40919037199125,10,HK,10,1,0
20150901,181,4,-9.0,4.85436893203883,6,HK,6,1,0
20150903,181,4,-9.0,-6.78466076696165,10,HK,10,1,0
20150904,186,4,-10.0,-4.30327868852459,10,HK,10,1,0
20150906,182,4,-9.5,-5.0610820244328,6,HK,6,1,0
20150907,180,4,-9.0,-8.97435897435898,10,HK,10,1,0
20150908,180,4,-9.0,-8.46560846560847,6,HK,6,1,0
20150909,186,4,-10.0,-2.14669051878354,2,HK,2,1,0
20150910,186,4,-10.0,-2.28471001757469,2,HK,2,1,0
