SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,Contains14sub,Contains14
20150302,141,3,-6.5,2.3517382413088,10,FR,1,0
20150302,141,3,-6.5,-6.43507972665148,6,LE,1,0
20150302,141,3,-6.5,-1.86625194401245,10,YM,1,0
20150302,141,3,-6.5,-5.8139534883721,5,AG,1,0
20150302,141,3,-6.5,-0.5996534961565,20,SP,1,1
20150303,141,3,-6.5,-0.980392156862745,2,AG,1,0
20150303,141,3,-6.5,1.43540669856459,8,SP,1,0
20150303,141,3,-6.5,-1.38036809815951,2,LE,1,0
20150303,1411,3,-6.5,-7.44336569579288,4,FR,1,0
20150303,141,3,-6.5,-4.70588235294117,2,YM,1,0
20150304,1412,3,-6.5,0.64935064935065,2,SP,1,0
20150304,1411,3,-6.5,-8.0952380952381,6,FR,1,0
20150304,141,3,-6.5,-0.71428571428571,2,YM,1,0
20150304,141,3,-6.5,1.53061224489796,10,LE,1,0
20150304,141,3,-6.5,-2.11817168338907,10,AG,1,0
20150305,141,3,-6.5,-3.88888888888889,10,FR,1,0
20150305,141,3,-6.5,-3.5799522673031,10,LE,1,0
20150305,141,3,-6.5,-3.0,2,SP,1,0
20150305,141,3,-6.5,0.980392156862745,20,AG,1,1
20150305,141,3,-6.5,-5.26315789473684,10,YM,1,0
20150306,141,3,-6.5,-4.57746478873239,10,AG,1,0
20150306,141,3,-6.5,0.0,10,LE,1,0
20150306,141,3,-6.5,1.04347826086957,10,FR,1,0
20150306,141,3,-6.5,-0.91743119266055,10,SP,1,0
20150306,141,3,-6.5,-5.73770491803279,6,YM,1,0
20150307,141,3,-6.5,-4.67289719626168,6,FR,1,0
20150307,141,3,-6.5,-4.14746543778802,10,LE,1,0
20150307,141,3,-6.5,1.71919770773639,10,AG,1,0
20150307,141,3,-6.5,-0.490196078431373,8,SP,1,0
20150307,141,3,-6.5,-3.52941176470588,2,YM,1,0
20150308,141,3,-6.5,-1.78572590669192,20,LE,1,1
20150308,141,3,-6.5,-3.46820809248555,3,YM,1,0
20150308,141,3,-6.5,-6.01503759398496,10,FR,1,0
20150308,141,3,-6.5,-7.41687979539642,1,SP,1,0
20150308,141,3,-6.5,-2.66323024054983,1,AG,1,0
20150309,141,3,-6.5,-3.7359900373599,2,SP,1,0
20150309,141,3,-6.5,-1.61290322580645,10,FR,1,0
20150309,141,3,-6.5,1.60377358490566,6,LE,1,0
20150309,141,3,-6.5,-4.44674250258531,10,AG,1,0
20150309,141,3,-6.5,2.11267605633802,10,YM,1,0
20150310,141,3,-6.5,-8.15347721822542,6,SP,1,0
20150310,141,3,-6.5,-2.25705329153605,6,AG,1,0
20150310,141,3,-6.5,-2.55863539445629,10,FR,1,0
20150310,141,3,-6.5,1.74129353233831,5,LE,1,0
20150310,141,3,-6.5,-0.3136504341591,2,YM,1,0
20150311,141,3,-6.5,-4.24028268551237,10,AG,1,0
20150311,141,3,-6.5,-11.1111111111111,4,YM,1,0
20150311,141,3,-6.5,-4.97737556561086,3,FR,1,0
20150311,141,3,-6.5,-5.64784053156147,10,LE,1,0
20150311,141,3,-6.5,-3.40136054421769,10,SP,1,0
20150312,141,3,-6.5,-6.9672131147541,10,FR,1,0
20150312,141,3,-6.5,2.41228070175439,10,SP,1,0
20150312,141,3,-6.5,-11.0169491525424,10,YM,1,0
20150312,141,3,-6.5,-10.8499095840868,2,LE,1,0
20150312,141,3,-6.5,-0.84388185654008,10,AG,1,0
20150313,141,3,-6.5,-3.28767123287671,10,FR,1,0
20150313,141,3,-6.5,-3.27868852459016,6,SP,1,0
